Amount,Time,Feature1,Feature2,Fraud
3233.38,34595,2.1573082132655035,-0.8181988834223072,0
2783.63,73166,1.5615111967268527,0.9553052085705107,0
923.74,84417,-0.02730453950993186,-1.4183657329330317,0
2214.14,11139,-0.643518230380143,-0.46603650186824225,0
444.75,37847,0.02127157673606165,-0.5290526773462948,0
2606.65,20104,0.1704162223754877,0.6731813512699584,1
2968.1,12330,0.6779258713392691,0.7783610761666377,0
3086.16,33614,0.30740669780910074,-0.10015407647995278,0
3175.17,44937,1.702214944635238,-1.2542894231692494,0
4297.22,30683,1.1965715016644913,0.22468472575188592,0
2747.52,68620,-0.6134026635409398,0.7533416211045325,1
4977.41,55678,-0.651356893791829,-0.2813275571182134,0
436.11,64978,-1.3719011429313563,-0.5642475986573886,0
3968.93,25170,-0.48791140814570266,-0.5511857163285334,0
3226.8,40109,-1.9663565893760018,0.46877425607502377,0
1835.41,77453,-0.221253623585772,0.7660802783846903,0
1278.97,73862,0.032004149065766624,0.08840688629184736,0
2396.44,41324,-1.366878698415421,-1.1958830620351844,0
3660.06,31751,0.4599721429391164,-1.141689114133505,0
3999.11,47865,-0.15852957302697002,0.9325908318730899,0
1285.16,73823,1.5013336519554867,1.543243528272189,0
1325.21,46660,-1.0448091940210336,-0.6022120603617805,0
1706.11,50201,1.5284684264125317,-1.169916835710288,0
4527.72,16921,-0.3649527295428853,1.66125921454787,0
2212.61,28180,0.8157372125392968,-0.20367375017696587,0
765.77,20610,-0.9716140385106515,0.6308116845547775,0
3350.81,56274,0.7591551603026468,0.014688194729197093,0
926.96,42686,-0.8848027140269009,1.262584103427182,0
3863.34,31823,-0.8392096673390064,-0.45709625658627184,0
3201.2,78214,0.28257995048829965,0.3673655068161781,0
3160.45,5902,-0.32267983884213575,-0.4888494217862741,0
893.05,5657,1.185704154662997,-0.22648409884983192,0
4773.35,55923,0.9495541354413237,-0.5805234498047227,1
874.69,76958,-0.6057149230033384,-0.0033744574109520514,0
2902.79,25033,1.2382830714336357,-1.5625458568865427,0
2123.21,36036,1.7117084801423434,2.5581992856682523,0
2229.51,35299,0.9278401280812372,-1.5947030672667954,0
1815.36,42914,0.3996879517526416,0.7368438970924334,0
1511.0,52291,-0.7534178703461835,1.4775300810552618,0
3379.53,14717,2.165002344901084,-0.14760258629866868,0
2114.02,50332,-1.7607627591558177,-0.03564148229748357,0
